|,|__state,|__site_name,|__county,|__info,|__latitude,|__longitude,|__elev,|__station
301,CA,Adin Mtn ,Modoc,Cottonwood Creek ,41.23583,-120.79192,1886.7,ADMC1
302,OR,Aneroid Lake #2 ,Wallowa,West Fork Wallowa River-Wallowa River ,45.21328,-117.19258,2255.5,ANRO3
303,CO,Apishapa ,Huerfano,Middle Creek-Cucharas River ,37.33062,-105.06749,3048,APSC2
304,OR,Arbuckle Mtn ,Morrow,Upper Fivemile Creek ,45.19085,-119.25392,1758.7,ARBO3
306,ID,Atlanta Summit ,Elmore,North and Middle Forks Boise ,43.7569,-115.23907,2310.4,ATAI1
307,MT,Badger Pass ,Flathead,North Badger Creek ,,,,
308,AZ,Baker Butte ,Gila,Pine Creek ,34.45547,-111.40643,2225,BKBA3
309,WY,Bald Mtn. ,Big Horn,Upper Porcupine Creek ,44.8007,-107.84442,2859,BLDW4
310,AZ,Baldy ,Apache,Hall Creek-Little Colorado River ,33.97883,-109.50344,2781.3,BLDA3
311,MT,Banfield Mountain ,Lincoln,Upper Fortine Creek ,48.5712,-115.44573,1706.9,BANM8
312,ID,Banner Summit ,Boise,Canyon Creek ,44.30342,-115.23447,2145.8,BASI1
313,MT,Barker Lakes ,Deer Lodge,Warm Springs Creek-West Valley ,46.09713,-113.13038,2514.6,BRLM8
314,WY,Base Camp ,Teton,Lower Pacific Creek ,43.94583,-110.44677,2142.7,BSCW4
315,MT,Basin Creek ,Silver Bow,Basin Creek ,45.79737,-112.52047,2188.5,BSCM8
316,NM,Bateman ,Rio Arriba,Montoya Canyon-Canjilon Creek ,36.51216,-106.32129,2834.6,BAMN5
317,WY,Battle Mountain ,Carbon,Lower Battle Creek ,41.05413,-107.26609,2267.7,BTLW4
318,MT,Beagle Springs ,Beaverhead,Upper Nicholia Creek ,44.47147,-112.98191,2697.5,BEAM8
319,ID,Bear Basin ,Adams,Upper Goose Creek ,44.95222,-116.14293,1630.7,BRBI1
320,ID,Bear Canyon ,Custer,Upper Star Hope Creek ,43.74367,-113.93797,2407.9,BECI1
321,NV,Bear Creek ,Elko,West Fork Pine Creek-Jarbidge River ,41.83417,-115.45222,2450.6,BERN2
322,CO,Bear Lake ,Larimer,Glacier Creek ,40.31118,-105.64483,2895.6,BLKC2
323,ID,Bear Mountain ,Bonner,Middle Lightning Creek ,48.30577,-116.07448,1645.9,BRMI1
324,ID,Bear Saddle ,Washington,Upper Mann Creek ,44.60553,-116.98008,1883.7,BSDI1
325,WY,Bear Trap Meadow ,Johnson,Lower North Fork Red Fork Powder River ,43.88743,-107.06135,2499.4,BTNW4
326,WY,Beartooth Lake ,Park,Beartooth Creek ,44.94307,-109.56743,2852.9,BLTW4
327,CO,Beartown ,Mineral,Bear Creek-Rio Grande ,37.71409,-107.51212,3535.7,BRTC2
328,MT,Beaver Creek ,Gallatin,Upper Beaver Creek ,44.94966,-111.35852,2392.7,BEVM8
329,UT,Beaver Dams ,Sanpete,Headwaters Twelvemile Creek ,39.13683,-111.55814,2433.8,BVDU1
330,UT,Beaver Divide ,Summit,Shingle Creek-Provo River ,40.61231,-111.09797,2508.2,NWZU1
331,OR,Beaver Reservoir ,Union,Upper Beaver Creek ,45.14532,-118.219,1569.7,BVRO3
332,UT,Ben Lomond Peak ,Weber,Cutler Creek-North Fork Ogden River ,41.37603,-111.94405,2343.3,BLPU1
333,UT,Ben Lomond Trail ,Weber,Cutler Creek-North Fork Ogden River ,41.38291,-111.92103,1820,BLTU1
334,NV,Berry Creek ,White Pine,Berry Creek ,39.31917,-114.62278,2857.8,BRCN2
335,CO,Berthoud Summit ,Grand,Upper Fraser River ,39.80392,-105.77789,3444.2,BTSC2
336,NV,Big Bend ,Elko,Martin Creek ,41.76168,-115.6931,2102.2,BIGN2
337,NV,Big Creek Sum ,Lander,Big Creek ,39.29148,-117.11506,2646.9,BCSN2
338,ID,Big Creek Summit ,Valley,Curtis Creek ,44.62642,-115.7937,2005.6,BKSI1
339,UT,Big Flat ,Beaver,Three Creeks ,38.30184,-112.35672,3149.2,BGFU1
340,NV,Big Meadow ,Washoe,Hunter Creek-Truckee River ,39.455,-119.9422,2509.7,BMWN2
341,OR,Big Red Mountain ,Jackson,Upper Little Applegate River ,42.05257,-122.85487,1844,BRMO3
342,WY,Big Sandy Opening ,Sublette,Black Joe Creek-Big Sandy River ,42.64682,-109.25965,2767.6,BGSW4
343,OR,Bigelow Camp ,Josephine,Sturgis Fork Carberry Creek ,42.07875,-123.34393,1563.6,BGCO3
344,OR,Billie Creek Divide ,Klamath,Seldom Creek ,42.40717,-122.26617,1609.3,BCDO3
345,CO,Bison Lake ,Garfield,Headwaters Deep Creek ,39.76487,-107.35681,3316.2,BLSC2
346,MT,Bisson Creek ,Lake,Mud Creek ,47.68389,-113.99901,1499.6,BISM8
347,MT,Black Bear ,Gallatin,Madison Arm-Madison River ,44.51389,-111.12803,2490.2,BLBM8
348,UT,Black Flat-U.M. Ck ,Sevier,U M Creek ,38.6799,-111.59765,2869.1,BFTU1
349,MT,Black Pine ,Granite,Marshall Creek ,46.414,-113.43095,2197.6,BLKM8
350,WY,Blackwater ,Park,Sheep Creek-North Fork Shoshone River ,44.37667,-109.79333,2980.9,BLWW4
351,OR,Blazed Alder ,Clackamas,Clear Creek-Sandy River ,45.4287,-121.85605,1112.5,BLAO3
352,WA,Blewett Pass ,Chelan,Upper Peshastin Creek ,47.35037,-120.6796,1292.4,BPAW1
353,WY,Blind Bull Sum ,Sublette,Upper Horse Creek ,42.964,-110.60973,2636.5,BBSW4
354,SD,Blind Park ,Pennington,Upper Castle Creek ,44.10772,-103.97688,2100.1,BLPS2
355,MT,Bloody Dick ,Beaverhead,Upper Bloody Dick Creek ,45.16507,-113.50099,2316.5,BLOM8
356,CA,Blue Lakes ,Alpine,Deer Creek ,38.608,-119.92437,2458.5,BLAC1
357,OR,Blue Mountain Spring ,Grant,Summit Creek ,44.24767,-118.51722,1789.2,BLPO3
358,WY,Bone Springs Div ,Sheridan,Cedar Creek ,44.67888,-107.5811,2849.9,BSDW4
359,ID,Bostetter R.S. ,Cassia,Upper Big Cottonwood Creek ,42.16389,-114.1925,2286,BTRI1
360,MT,Boulder Mountain ,Meagher,Upper Camas Creek ,46.5596,-111.28973,2423.2,BOMM8
361,OR,Bourne ,Baker,Cracker Creek ,44.83052,-118.18787,1783.1,BORO3
362,OR,Bowman Springs ,Umatilla,Johnson Creek ,45.36428,-118.46715,1380.7,BMSO3
363,MT,Box Canyon ,Park,East Fork Boulder River ,45.2719,-110.24903,2033,BOXM8
364,UT,Box Creek ,Sevier,Greenwich Creek ,38.50809,-112.01856,3002.9,BXCU1
365,MT,Brackett Creek ,Gallatin,Upper Brackett Creek ,45.89107,-110.93851,2231.1,BRCM8
366,UT,Brighton ,Salt Lake,Headwaters Big Cottonwood Canyon ,40.59936,-111.58167,2671.6,BRIU1
367,WY,Brooklyn Lake ,Albany,North Fork Little Laramie River ,41.35885,-106.23209,3121.2,BKLW4
368,UT,Brown Duck ,Duchesne,Brown Duck Creek-Lake Fork River ,40.58102,-110.58587,3222.4,BNDU1
369,CO,Brumley ,Lake,North Fork Lake Creek ,39.08766,-106.5417,3230.9,BRMC2
370,ID,Brundage Reservoir ,Adams,Upper Goose Creek ,45.04315,-116.13253,1905,BRRI1
371,UT,Buck Flat ,Sanpete,Ferron Reservoir-Ferron Creek ,39.134,-111.43722,2867.6,BUFU1
373,NV,Buckskin Lower ,Humboldt,Cabin Creek-Martin Creek ,41.75067,-117.53182,2112,BKLN2
374,UT,Bug Lake ,Rich,Laketown Canyon ,41.68541,-111.41987,2433.8,BULU1
375,WA,Bumping Ridge ,Yakima,Upper Bumping River ,46.81003,-121.33058,1405.1,BMPW1
376,WA,Bunchgrass Mdw ,Pend Oreille,East Branch Le Clerc Creek ,48.68688,-117.17633,1524,BGMW1
377,WY,Burgess Junction ,Sheridan,Lower North Tongue River ,44.78765,-107.52917,2401.8,BRJW4
378,CO,Burro Mountain ,Rio Blanco,North Elk Creek ,39.87505,-107.59853,2865.1,BURC2
379,WY,Burroughs Creek ,Fremont,Middle Horse Creek ,43.69733,-109.67021,2667,BRCW4
380,CO,Butte ,Gunnison,Washington Gulch-Slate River ,38.89433,-106.953,3096.8,BUTC2
381,MT,Calvert Creek ,Deer Lodge,Fishtrap Creek ,45.8838,-113.32553,1959.9,CLVM8
382,ID,Camas Creek Divide ,Elmore,Sheep Creek-Camas Creek ,43.26548,-115.3453,1740.4,CCDI1
383,UT,Camp Jackson ,San Juan,Johnson Creek ,37.81333,-109.48723,2699.6,CJSU1
384,WY,Canyon ,Park,Cascade Creek-Yellowstone River ,44.71961,-110.51084,2398.8,CANW4
385,MT,Carrot Basin ,Gallatin,Sage Creek ,44.96192,-111.29403,2743.2,CRRM8
386,CO,Cascade ,San Juan,Headwaters Cascade Creek ,37.65083,-107.80602,2706.6,CSCC2
387,CO,Cascade #2 ,San Juan,Headwaters Cascade Creek ,37.658,-107.80268,2718.8,CADC2
388,OR,Cascade Summit ,Deschutes,Upper Salt Creek ,43.59042,-122.0601,1554.5,CSTO3
